Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO,Marca
GeForce GTX 1650,6.19,6.07,5.67,5.30,5.11,-0.19,NVIDIA
GeForce RTX 3060,4.66,4.90,4.74,4.88,4.87,-0.01,NVIDIA
GeForce GTX 1060,4.99,4.94,4.58,4.60,4.31,-0.29,NVIDIA
GeForce RTX 3060 Laptop GPU,4.51,4.54,4.28,3.76,4.29,0.53,NVIDIA
GeForce RTX 2060,4.45,4.53,4.15,4.10,3.94,-0.16,NVIDIA
GeForce RTX 3060 Ti,3.13,3.33,3.42,3.43,3.53,0.1,NVIDIA
GeForce GTX 1050 Ti,4.05,3.83,3.61,3.50,3.26,-0.24,NVIDIA
GeForce RTX 3070,2.95,3.06,2.99,3.26,3.20,-0.06,NVIDIA
GeForce RTX 3050,2.71,2.80,2.66,2.46,2.63,0.17,NVIDIA
GeForce GTX 1660 SUPER,2.69,2.66,2.62,2.56,2.57,0.01,NVIDIA
GeForce RTX 3080,1.94,1.95,2.02,2.22,2.25,0.03,NVIDIA
GeForce GTX 1660 Ti,2.25,2.20,2.09,2.02,2.13,0.11,NVIDIA
Radeon Graphics,1.99,2.06,2.01,2.08,2.03,-0.05,AMD
Iris(R) Xe Graphics,1.69,1.76,1.70,1.81,1.80,-0.01,INTEL
GeForce RTX 4060 Laptop GPU,0.24,0.31,0.81,0.93,1.63,0.7,NVIDIA
GeForce GTX 1050,2.04,1.98,1.78,1.75,1.63,-0.12,NVIDIA
GeForce GTX 1070,1.61,1.55,1.51,1.59,1.52,-0.07,NVIDIA
GeForce RTX 3070 Ti,1.37,1.40,1.42,1.46,1.50,0.04,NVIDIA
UHD Graphics,1.50,1.56,1.49,1.53,1.44,-0.09,INTEL
GeForce RTX 2070 SUPER,1.45,1.44,1.39,1.43,1.41,-0.02,NVIDIA
GeForce RTX 2060 SUPER,1.26,1.29,1.26,1.28,1.26,-0.02,NVIDIA
GeForce GTX 1660,1.41,1.43,3.30,1.26,1.18,-0.08,NVIDIA
GeForce RTX 3050 Ti Laptop GPU,1.28,1.29,1.20,1.10,1.15,0.05,NVIDIA
GeForce RTX 2070,1.08,1.06,1.00,1.07,1.04,-0.03,NVIDIA
Radeon RX 580,1.11,1.10,1.04,1.07,1.03,-0.04,AMD
GeForce GTX 1080,0.98,0.97,0.94,1.00,0.97,-0.03,NVIDIA
GeForce RTX 3070 Laptop GPU,0.88,0.89,0.85,0.85,0.91,0.06,NVIDIA
GeForce GTX 1650 Ti,1.13,1.10,1.00,0.91,0.90,-0.01,NVIDIA
GeForce RTX 3080 Ti,0.74,0.73,0.76,0.85,0.87,0.02,NVIDIA
GeForce RTX 4070 Ti,0.41,0.46,0.62,0.68,0.83,0.15,NVIDIA
GeForce RTX 3050 Laptop GPU,0.93,0.96,0.85,0.74,0.80,0.06,NVIDIA
GeForce RTX 4090,0.43,0.44,0.56,0.65,0.78,0.13,NVIDIA
Radeon RX 570,0.88,0.85,0.80,0.80,0.75,-0.05,AMD
GeForce RTX 4070,0,0.21,0.36,0.55,0.72,0.17,NVIDIA
