Marca,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO
INTEL,67.94,66.76,66.52,68.77,74.39,5.6200000000000045
Outros,0.03,0.05,0.05,0.04,0.04,0.0
AMD,32.03,33.19,33.43,31.19,25.58,-5.610000000000003
