Marca,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO
INTEL,67.14,67.52,67.94,66.76,66.52,-0.2400000000000091
Outros,0.03,0.03,0.03,0.05,0.05,0.0
AMD,32.84,32.46,32.03,33.19,33.43,0.240000000000002
