,Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO,Marca
83,GeForce MX450,0.24,0.23,0.21,0.21,0.21,0.0,NVIDIA
84,GeForce RTX 4070 Laptop GPU,0,0,0,0,0.19,0.19,NVIDIA
85,GeForce MX150,0.23,0.21,0.21,0.21,0.19,-0.02,NVIDIA
86,HD Graphics 5500,0.19,0.19,0.19,0.20,0.18,-0.02,Intel
87,GeForce MX350,0.21,0.21,0.19,0.18,0.18,0.0,NVIDIA
88,Radeon RX 560,0.22,0.21,0.20,0.19,0.18,-0.01,AMD
89,HD Graphics 3000,0.19,0.19,0.18,0.21,0.18,-0.03,Intel
90,GeForce RTX T10-8,0,0,0,0.23,0.18,-0.05,NVIDIA
91,GeForce RTX 2070 with Max-Q Design,0.20,0.19,0.18,0.18,0.18,0.0,NVIDIA
92,Radeon RX Vega 11 Graphics,0.25,0.24,0.22,0.21,0.18,-0.03,AMD
93,GeForce GTX 950,0.21,0.20,0.19,0.18,0.17,-0.01,NVIDIA
94,UHD Graphics 600,0.16,0.17,0.16,0.18,0.17,-0.01,INTEL
95,Radeon R7 Graphics,0.17,0.16,0.16,0.17,0.16,-0.01,AMD
96,GeForce GTX 750,0.19,0.17,0.18,0.17,0.16,-0.01,NVIDIA
97,HD Graphics 530,0,0,0.15,0.17,0.16,-0.01,Intel
98,,9.44,9.48,9.92,10.01,10.06,0.05,OUTRAS
